ScreenName,Time,Date,TimeZone,Tweet,InReplyToUserID,FavoriteCount,RetweetCount,SentimentAverage
@BernieSanders,21:15:04,06/14/16,UTC,"We have to replace the current DNC leadership. We need someone who vigorously supports bringing people into the political process.",None,5714,2370,0.0
@BernieSanders,20:56:04,06/14/16,UTC,"This decision ensures that big corporations will not be able to put a price tag on the free flow of ideas.
https://t.co/aQewcUrdHf",None,2093,874,0.15
@BernieSanders,20:39:17,06/14/16,UTC,"RT @penningtonkm: Join @BernieSanders and tens of thousands of volunteers and supporters for a national address Thursday at 8:30pm ET: http…",None,0,624,0.0
@BernieSanders,19:11:13,06/14/16,UTC,"RT @ABCPolitics: WATCH LIVE: @BernieSanders holds press conference in Washington D.C. https://t.co/5VGIYIGv44 https://t.co/cqJ556K3D6",None,0,422,0.136363636364
@BernieSanders,18:47:07,06/14/16,UTC,"We know that one hateful person committed this terrible crime — not an entire people or an entire religion. 
https://t.co/emr7EPkQr4",None,5588,2642,-0.166666666667
@BernieSanders,16:49:07,06/14/16,UTC,"The political revolution continues. Bernie will address supporters on Thursday. Sign up for the live stream: https://t.co/DotMViqQnq",None,3109,1836,0.0454545454545
@BernieSanders,16:39:05,06/14/16,UTC,"Everyone who votes in the D.C. primary will make a difference. Do you have a voting plan today? https://t.co/dtbBI5X3nv",None,1671,794,0.133333333333
@BernieSanders,15:06:32,06/14/16,UTC,"Nevada – send the message today that yes, we are going to move this country in a progressive direction. Go vote.  https://t.co/WGkai4Y3yW",None,2406,1021,0.0
@BernieSanders,14:07:28,06/14/16,UTC,"RT @Marcy_Kaptur: Thank you @BernieSanders. Honored to fight alongside you against NAFTA, Iraq war, and the Wall Street Bailout.   https://…",None,0,385,0.0
@BernieSanders,12:39:05,06/14/16,UTC,"Make our country work for everyone, not just a handful of billionaires. Let’s bring it home. Washington, D.C. – go vote. #FeelTheBern",None,4998,1923,0.0
@BernieSanders,01:54:58,06/14/16,UTC,"My plan: break up big banks, close tax loopholes and make them pay their fair share. Then we can expand health care and make college free.",None,8981,3088,0.375
@BernieSanders,23:56:10,06/13/16,UTC,"RT @LaurenBlanch12: . @BernieSanders stands with faith leaders of Burlington, VT. Event organized by Pride Center of Vermont https://t.co/L…",None,0,986,-0.0333333333333
@BernieSanders,23:55:57,06/13/16,UTC,"RT @JackNECN: &gt;@BernieSanders tells hometown crowd "one hateful person committed this crime -- not an entire religion." #VT https://t.co/Ox…",None,0,6227,0.0
@BernieSanders,21:12:06,06/13/16,UTC,"Washington, D.C. – On Tuesday, June 14, you will have the chance to stand up and be heard. https://t.co/7EDOnzjv1o",None,4315,1953,0.0
@BernieSanders,19:23:07,06/13/16,UTC,"It is an embarrassment that some politicians refuse to recognize the reality of climate change.",None,9035,3147,0.0
@BernieSanders,17:02:08,06/13/16,UTC,"No president can do it alone. That's why I'm endorsing progressives Rep. @RepMarcyKaptur and Rep. @RickNolanmn.
https://t.co/cJ2qSwDr56",None,3542,1359,0.0
@BernieSanders,15:07:32,06/13/16,UTC,"Washington, D.C.'s primary takes place tomorrow, June 14 – the last one of this presidential nominating process.
https://t.co/Q7xCvTBkuZ",None,3574,1860,0.1
@BernieSanders,13:06:01,06/13/16,UTC,"It is morally wrong that Washington, D.C.'s residents lack voting representation in Congress.
https://t.co/7YhCiqcRQD",None,3374,1354,-0.25
@BernieSanders,01:58:31,06/13/16,UTC,"From what is now known, this was a terrorist act by an ISIS sympathizer. That despicable and barbaric organization must be destroyed.",216776631,9250,3802,0.0
@BernieSanders,18:57:13,06/12/16,UTC,"All Americans are horrified, disgusted and saddened by the horrific atrocity in Orlando. Full statement: https://t.co/ci5kxXKSyZ",None,21569,9601,-0.325
@BernieSanders,14:08:03,06/12/16,UTC,"RT @NBCNewsPR: "It's horrific, it's unthinkable," says @BernieSanders on #OrlandoShooting this morning on @MeetThePress. #MTP #Orlando",None,0,2020,-0.2625
@BernieSanders,01:02:05,06/12/16,UTC,"Some of us believe that what God teaches is to not turn our backs on our brothers and our sisters, that essentially we are in this together.",None,10535,4603,0.0
@BernieSanders,22:26:04,06/11/16,UTC,"Our economy works for Wall Street because it’s rigged by Wall Street. As long as Washington's bought, our economy won't work for the people.",None,7101,2897,-0.025
@BernieSanders,20:35:07,06/11/16,UTC,"Universal health care is an idea that has been supported by Democratic presidents going back to Franklin Roosevelt and Harry Truman.",None,7527,2430,0.0
@BernieSanders,17:47:01,06/11/16,UTC,"We must lead the world in working with China, Russia, India and the international community to break our energy dependence on fossil fuel.",None,5439,1763,0.0
@BernieSanders,15:22:06,06/11/16,UTC,"Millions of lives are being wrecked, families are being torn apart and we are spending huge sums of taxpayer money by locking people up.",None,4799,1630,0.4
@BernieSanders,13:21:03,06/11/16,UTC,"We must not succumb to bigotry. We must do what we do best as Americans – fight racism, fight xenophobia and fight fear.",None,7724,3362,0.5
@BernieSanders,01:02:01,06/11/16,UTC,"A job must lift workers out of poverty, not keep them in it. The current federal minimum wage of $7.25 an hour is a starvation wage.",None,6284,2543,0.0
@BernieSanders,23:32:04,06/10/16,UTC,"We cannot continue to send our jobs to China and other low-wage countries when millions of Americans need work.",None,5837,1823,-0.125
@BernieSanders,22:16:07,06/10/16,UTC,"More than one-third of our senior citizens rely on Social Security for virtually all of their income. We must expand benefits, not cut them.",None,5839,1973,0.133333333333
@BernieSanders,22:01:21,06/10/16,UTC,"RT @CNNSotu: This Sunday on #CNNSOTU: @BernieSanders joins @jaketapper just days after meeting with President Obama. https://t.co/yUh9VW96Cr",None,0,921,0.0
@BernieSanders,20:46:04,06/10/16,UTC,"We must end the over-incarceration of nonviolent Americans in our country.",None,4649,1783,0.4
@BernieSanders,19:00:38,06/10/16,UTC,"Instead of cutting head start and childcare, we need to move to a universal pre-K system for all children. https://t.co/cFyFwA09Vb",None,7634,2684,-0.15
@BernieSanders,16:55:15,06/10/16,UTC,"RT @GunnelsWarren: I don’t think that we can amend or tinker around the edges with the Trans-Pacific Partnership. We need to kill it. https…",None,0,1124,0.0
@BernieSanders,16:22:54,06/10/16,UTC,"It is not good enough to talk about public education being kindergarten to 12th grade anymore. We need to make public colleges tuition-free.",None,7763,2616,-0.0583333333333
@BernieSanders,14:01:42,06/10/16,UTC,"Our job is to bring the American people together to create a government that works for us, not the 1 percent.",None,7159,2471,0.0
@BernieSanders,23:10:31,06/09/16,UTC,"RT @cspan: .@BernieSanders campaigns in Washington, DC – LIVE shortly on C-SPAN3 https://t.co/JndHhNdEbe https://t.co/2k4HH3Ud9A",None,0,636,0.0340909090909
@BernieSanders,16:27:05,06/09/16,UTC,"But you all know it is more than Bernie Sanders. It is all of us together. Millions of people from coast to coast coming together.",None,9745,3467,0.166666666667
@BernieSanders,14:48:04,06/09/16,UTC,"When millions of Americans are working longer hours for lower wages, we won't allow 57 percent of all new income to go to the top 1 percent.",None,5087,1598,0.318181818182
@BernieSanders,14:46:54,06/09/16,UTC,"I'm horrified by yesterday's terrorist attack in Tel Aviv. My thoughts are with the victims' families and all of those harmed.",None,7167,1880,0.0
@BernieSanders,13:06:05,06/09/16,UTC,"The American people know that it is not acceptable that the top tenth of 1 percent owns as much wealth as the bottom 90 percent.",None,5843,1961,0.233333333333
@BernieSanders,01:22:05,06/09/16,UTC,"Our mission is more than just defeating Trump. It is transforming our country. People want something to vote for rather than just against.",None,21894,11199,0.166666666667
@BernieSanders,23:12:06,06/08/16,UTC,"The American people will never support a candidate whose major theme is bigotry. We will not allow Donald Trump to become president.",None,16008,6733,0.015625
